2022-02-14 17:00:37; 00:00:00.94; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2085;
2022-02-14 17:00:38; 00:00:00.652; Declinada; Guardar History; AppController; updateHistory; 2085;
2022-02-14 17:00:39; 00:00:00.89; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 17:00:40; 00:00:00.89; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 17:00:40; 00:00:00.494; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 17:00:40; 00:00:05.5532; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2085;
2022-02-14 17:00:42; 00:00:00.391; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2085;
2022-02-14 17:06:10; 00:00:00.665; Finalizar; Insertar AdjustedObligations; BaseObligationsController; ajuste_data; 2085;
2022-02-14 17:06:10; 00:00:00.100; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2085;
2022-02-14 17:06:12; 00:00:00.697; Declinada; Guardar History; AppController; updateHistory; 2085;
2022-02-14 17:06:13; 00:00:00.87; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 17:06:14; 00:00:00.87; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 17:06:14; 00:00:00.511; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2085;
2022-02-14 17:06:15; 00:00:00.667; Finalizar; Insertar logCommercial; LogCommercial; PersistenceLogsCommercial; 2085;
2022-02-14 17:06:15; 00:00:06.6262; Finalizar negociación; Funcion completa; BaseObligationsController; finalizar; 2085;
2022-02-14 17:11:26; 00:00:00.348; Consulta; InsertLog; AppController; Log; 2087;
2022-02-14 17:11:30; 00:00:00.95; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2087;
2022-02-14 17:11:32; 00:00:01.1577; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2087;
2022-02-14 17:11:32; 00:00:01.1723; Consulta; InsertHistory; AppController; createHistory; 2087;
2022-02-14 17:11:32; 00:00:08.8379; Consulta; Funcion completa; BaseCustomersController; consult; 2087;
2022-02-14 17:13:25; 00:00:00.236; Declinada; Guardar History; AppController; updateHistory; ;
2022-02-14 17:13:26; 00:00:00.104; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2087;
2022-02-14 17:13:27; 00:00:00.104; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2087;
2022-02-14 17:13:28; 00:00:01.1563; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2087;
2022-02-14 17:13:29; 00:00:00.303; Consulta; InsertLog; AppController; Log; 2088;
2022-02-14 17:13:32; 00:00:00.105; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2088;
2022-02-14 17:13:33; 00:00:01.1461; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2088;
2022-02-14 17:13:33; 00:00:01.1511; Consulta; InsertHistory; AppController; createHistory; 2088;
2022-02-14 17:13:33; 00:00:11.11643; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2087;
