2022-02-15 10:00:01; 00:00:00.118; Declinada; Conteo Normalizacion; AppController; updateHistory; 2116;
2022-02-15 10:00:01; 00:00:00.103; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2116;
2022-02-15 10:00:03; 00:00:01.1314; Declinada; Guardar History; AppController; updateHistory; 2116;
2022-02-15 10:00:04; 00:00:00.111; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2116;
2022-02-15 10:00:05; 00:00:00.111; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2116;
2022-02-15 10:00:05; 00:00:00.548; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2116;
2022-02-15 10:00:05; 00:00:06.6061; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2116;
2022-02-15 10:00:07; 00:00:00.76; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2116;
2022-02-15 10:02:48; 00:00:00.351; Consulta; InsertLog; AppController; Log; 2117;
2022-02-15 10:02:50; 00:00:00.98; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2117;
2022-02-15 10:02:51; 00:00:00.567; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2117;
2022-02-15 10:02:51; 00:00:00.772; Consulta; InsertHistory; AppController; createHistory; 2117;
2022-02-15 10:02:51; 00:00:04.4845; Consulta; Funcion completa; BaseCustomersController; consult; 2117;
2022-02-15 10:03:05; 00:00:00.120; Declinada; Conteo Normalizacion; AppController; updateHistory; 2117;
2022-02-15 10:03:05; 00:00:00.122; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2117;
2022-02-15 10:03:07; 00:00:01.1297; Declinada; Guardar History; AppController; updateHistory; 2117;
2022-02-15 10:03:09; 00:00:00.93; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2117;
2022-02-15 10:03:09; 00:00:00.93; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2117;
2022-02-15 10:03:09; 00:00:00.553; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2117;
2022-02-15 10:03:09; 00:00:06.6248; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2117;
