2022-02-21 16:47:27; 00:00:00.701; Consulta; InsertLog; AppController; Log; 2752;
2022-02-21 16:47:27; 00:00:01.1300; Consulta; Funcion completa; BaseCustomersController; consult; 2752;
2022-02-21 16:52:23; 00:00:00.284; Consulta; InsertLog; AppController; Log; 2755;
2022-02-21 16:52:27; 00:00:00.907; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2755;
2022-02-21 16:52:28; 00:00:00.205; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2755;
2022-02-21 16:52:28; 00:00:01.1279; Consulta; InsertHistory; AppController; createHistory; 2755;
2022-02-21 16:52:28; 00:00:08.8393; Consulta; Funcion completa; BaseCustomersController; consult; 2755;
2022-02-21 16:54:36; 00:00:00.272; Consulta; InsertLog; AppController; Log; 2756;
2022-02-21 16:54:38; 00:00:00.471; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:54:39; 00:00:00.552; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:54:39; 00:00:00.790; Consulta; InsertHistory; AppController; createHistory; 2756;
2022-02-21 16:54:39; 00:00:04.4550; Consulta; Funcion completa; BaseCustomersController; consult; 2756;
2022-02-21 16:55:20; 00:00:00.93; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2756;
2022-02-21 16:55:21; 00:00:00.732; Declinada; Guardar History; AppController; updateHistory; 2756;
2022-02-21 16:55:23; 00:00:00.470; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:55:24; 00:00:00.470; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:55:25; 00:00:00.548; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:55:25; 00:00:06.6549; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2756;
2022-02-21 16:55:26; 00:00:00.48; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2756;
2022-02-21 16:56:19; 00:00:00.593; Finalizar; Insertar AdjustedObligations; BaseObligationsController; ajuste_data; 2756;
2022-02-21 16:56:19; 00:00:00.96; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2756;
2022-02-21 16:56:20; 00:00:00.728; Declinada; Guardar History; AppController; updateHistory; 2756;
2022-02-21 16:56:22; 00:00:00.448; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:56:24; 00:00:00.448; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:56:24; 00:00:00.675; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2756;
2022-02-21 16:56:25; 00:00:00.580; Finalizar; Insertar logCommercial; LogCommercial; PersistenceLogsCommercial; 2756;
2022-02-21 16:56:26; 457077:56:26.1645480586304; Finalizar; Insertar logRediferido; logRediferido; PersistencelogRediferido; 2756;
2022-02-21 16:56:26; 00:00:07.7661; Finalizar negociación; Funcion completa; BaseObligationsController; finalizar; 2756;
2022-02-21 16:56:36; 00:00:00.276; Consulta; InsertLog; AppController; Log; 2757;
2022-02-21 16:56:39; 00:00:00.475; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2757;
2022-02-21 16:56:39; 00:00:00.579; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2757;
2022-02-21 16:56:39; 00:00:00.804; Consulta; InsertHistory; AppController; createHistory; 2757;
2022-02-21 16:56:39; 00:00:04.4718; Consulta; Funcion completa; BaseCustomersController; consult; 2757;
